url,fecha_extraccion,titulo,oferta_activada,detalles_1_SALARIO,detalles_1_PRESENCIAL,detalles_1_TELETRABAJO,detalles_2_DÍA LABORABLE,detalles_2_VACACIONES,tecnologias_Tecnologías_HTML,tecnologias_Tecnologías_CSS,tecnologias_Tecnologías_JavaScript,tecnologias_Tecnologías_TypeScript,tecnologias_Tecnologías_Git,tecnologias_Tecnologías_React,tecnologias_Tecnologías_Vue,tecnologias_Tecnologías_Jest,tecnologias_Tecnologías_Astro,tecnologias_Tecnologías_Figma,tecnologias_Tecnologías_Storybook,habilidades_Otras habilidades,detalles_1_REMOTO,detalles_2_JORNADA LABORAL,tecnologias_Tecnologías_VanillaJS,tecnologias_Tecnologías_Github,tecnologias_Tecnologías_Shopify,tecnologias_Tecnologías_jQuery,tecnologias_Tecnologías_PHP,tecnologias_Tecnologías_Remix,tecnologias_Tecnologías_NodeJS,tecnologias_Tecnologías_MongoDB,tecnologias_Tecnologías_Linux,tecnologias_Tecnologías_Kubernetes,tecnologias_Tecnologías_AWS,tecnologias_Tecnologías_GitLab,tecnologias_Tecnologías_Argo CD,detalles_2_TURNO CONTINUO,tecnologias_Tecnologías_Scss,tecnologias_Tecnologías_Fastapi,tecnologias_Tecnologías_Java,tecnologias_Tecnologías_Spring,tecnologias_Tecnologías_Kotlin,tecnologias_Tecnologías_GraphQL,tecnologias_Tecnologías_Python,tecnologias_Tecnologías_SQL,tecnologias_Tecnologías_Kibana,tecnologias_Tecnologías_Grafana,tecnologias_Tecnologías_Elixir,tecnologias_Tecnologías_Ruby,tecnologias_Tecnologías_MySQL,tecnologias_Tecnologías_PostgreSQL,tecnologias_Tecnologías_Bash,tecnologias_Tecnologías_Kafka,tecnologias_Tecnologías_Flux,tecnologias_Tecnologías_Terraform,tecnologias_Tecnologías_Google Cloud,tecnologias_Tecnologías_Azure,tecnologias_Tecnologías_NextJS,tecnologias_Tecnologías_AngularJS
https://www.getmanfred.com/ofertas-empleo/6888/durcal-senior-frontend-developer-feb25,2025-02-27_19-50-46,Senior Frontend Developer,Activa,€40-45K,BARCELONA,80%,JORNADA COMPLETA,23 DÍAS,AVANZADO,AVANZADO,AVANZADO,AVANZADO,AVANZADO,INTERMEDIO,INTERMEDIO,INTERMEDIO,BÁSICO,BÁSICO,BÁSICO,"['Adaptabilidad al cambio', 'Trabajo en equipo', 'Proactividad', 'Resistencia a la frustración', 'Autonomía en el aprendizaje', 'Aprendizaje Continuo', 'Atención al detalle', 'Capacidad de autogestión']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.getmanfred.com/ofertas-empleo/6884/mushdesk-shopify-developer-feb25,2025-02-27_19-50-46,Shopify Developer,Activa,€35-40K,,,JORNADA COMPLETA,31 DÍAS,,INTERMEDIO,,,,INTERMEDIO,,,,,,"['Adaptabilidad al cambio', 'Aprendizaje Continuo', 'Comunicación escrita', 'Comunicación verbal', 'Proactividad', 'Trabajo en equipo', 'Autonomía en el aprendizaje', 'Capacidad de dar feedback']",100%,FLEXIBLE,INTERMEDIO,INTERMEDIO,INTERMEDIO,INTERMEDIO,INTERMEDIO,INTERMEDIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.getmanfred.com/ofertas-empleo/6879/durcal-node-backend-developer-feb25,2025-02-27_19-50-46,Node Backend Developer,Activa,€40-45K,BARCELONA,80%,JORNADA COMPLETA,23 DÍAS,,,,AVANZADO,,,,,,,,"['Adaptabilidad al cambio', 'Trabajo en equipo', 'Proactividad', 'Resistencia a la frustración', 'Autonomía en el aprendizaje', 'Aprendizaje Continuo', 'Atención al detalle', 'Capacidad de autogestión']",,,,,,,,,AVANZADO,INTERMEDIO,INTERMEDIO,BÁSICO,BÁSICO,BÁSICO,BÁSICO,,,,,,,,,,,,,,,,,,,,,,,
https://www.getmanfred.com/ofertas-empleo/6811/dcycle-frontend-develooper-feb25,2025-02-27_19-50-46,Product Frontend Developer,Activa,€40-50K,MADRID,40%,JORNADA COMPLETA,22 DÍAS,INTERMEDIO,INTERMEDIO,AVANZADO,AVANZADO,,INTERMEDIO,,,,,,"['Aprendizaje Continuo', 'Proactividad', 'Trabajo en equipo', 'Atención al detalle', 'Capacidad de autogestión']",,FLEXIBLE,,,,,,,,,,,BÁSICO,,,VIERNES,INTERMEDIO,BÁSICO,,,,,,,,,,,,,,,,,,,,
https://www.getmanfred.com/ofertas-empleo/6887/salsadev-software-developer-feb25,2025-02-27_19-50-46,Software Developer,Activa,€40-50K,MADRID,,JORNADA COMPLETA,23 DÍAS,,,AVANZADO,,,AVANZADO,,,,,,"['Adaptabilidad al cambio', 'Aprendizaje Continuo', 'Autonomía en el aprendizaje', 'Capacidad de dar feedback', 'Trabajo en equipo', 'Comunicación escrita', 'Comunicación verbal', 'Proactividad']",100%,FLEXIBLE,,,,,,,,,,,INTERMEDIO,,,,,,AVANZADO,AVANZADO,AVANZADO,INTERMEDIO,,,,,,,,,,,,,,,,
https://www.getmanfred.com/ofertas-empleo/6882/tymit-senior-operations-and-incident-specialist-feb25,2025-02-27_19-50-46,Senior Operations & Incident Specialist,Activa,€35-53K,,,JORNADA COMPLETA,26 DÍAS,,,,,,,,,,,,"['Comunicación verbal', 'Trabajo en equipo', 'Comunicación escrita', 'Visión crítica', 'Pensamiento analítico', 'Visión estratégica']",100%,,,,,,,,,,,,,,,,,,,,,,INTERMEDIO,AVANZADO,INTERMEDIO,INTERMEDIO,,,,,,,,,,,,
https://www.getmanfred.com/ofertas-empleo/6845/doofinder-software-engineer-feb25,2025-02-27_19-50-46,Software Engineer,Activa,€32-48K,MADRID,50%,JORNADA COMPLETA,24 DÍAS,INTERMEDIO,INTERMEDIO,INTERMEDIO,,,,,,,,,"['Adaptabilidad al cambio', 'Proactividad', 'Autonomía en el aprendizaje', 'Aprendizaje Continuo', 'Capacidad de autogestión', 'Atención al detalle', 'Capacidad de mentorización']",,FLEXIBLE,,,,,INTERMEDIO,,,,,,INTERMEDIO,,,,,,,,,,INTERMEDIO,,,,INTERMEDIO,INTERMEDIO,INTERMEDIO,INTERMEDIO,,,,,,,,
https://www.getmanfred.com/ofertas-empleo/6503/nexthink-product-engineer-feb25,2025-02-27_19-50-46,Product Engineer,Activa,HASTA €75K,MADRID,60%,JORNADA COMPLETA,ILIMITADO,,,,,,,,,,,,"['Atención al detalle', 'Pensamiento analítico', 'Trabajo en equipo', 'Autonomía en el aprendizaje', 'Capacidad de autogestión', 'Capacidad de mentorización']",,FLEXIBLE,,,,,,,,,,,INTERMEDIO,,INTERMEDIO,,,,AVANZADO,,,,,INTERMEDIO,,,,,,,AVANZADO,INTERMEDIO,INTERMEDIO,INTERMEDIO,INTERMEDIO,INTERMEDIO,,
https://www.getmanfred.com/ofertas-empleo/2809/sdg-group-senior-machine-learning-engineer-feb25,2025-02-27_19-50-46,Senior Machine Learning Engineer,Activa,HASTA €70K,,,JORNADA COMPLETA,25 DÍAS,,,,,,,,,,,,[],100%,,,,,,,,,,,,,,,EN VERANO,,,,,,,,,,,,,,,,,,,,,,
https://www.getmanfred.com/ofertas-empleo/6921/nuela-product-fullstack-engineer-feb25,2025-02-27_19-50-46,Senior Product FullStack Engineer,Oferta cerrada el 26/02/2025,HASTA €50K,,,JORNADA COMPLETA,22 DÍAS,,,,INTERMEDIO,,AVANZADO,,,,INTERMEDIO,,"['Proactividad', 'Atención al detalle', 'Visión estratégica', 'Liderazgo', 'Pensamiento analítico', 'Trabajo en equipo']",100%,,,,,,,,INTERMEDIO,,,,INTERMEDIO,,,VIERNES,,,,,,,,,,,,,,,,,,,,,AVANZADO,
