Ciudad,País,Comunidad Autónoma,Latitud,Longitud
Madrid,España,Comunidad de Madrid,40.4167047,-3.7035825
Bizkaia,España,Euskadi,43.238482000000005,-2.85163163999482
"Milán, Italia",Italia,Lombardia,45.4641943,9.1896346
Oporto,Portugal,Desconocido,41.1494512,-8.6107884
Polonia,Polska,Desconocido,52.215933,19.134422
Ceuta,España,Plazas de Soberanía,35.89442195,-5.355817352394269
Albacete,España,Castilla-La Mancha,38.9950921,-1.8559154
Salamanca,España,Castilla y León,40.9651572,-5.6640182
Bergondo,España,Galicia,43.312425,-8.247019742963623
Teruel,España,Aragón,40.6005259,-0.9229281876827901
Lleida,España,Catalunya,41.6147605,0.6267842
Zaragoza,España,Aragón,41.6521342,-0.8809428
Cantabria,España,Cantabria,43.1595664,-4.0878382
Gipuzkoa,España,Euskadi,43.144527800000006,-2.2037955488327494
Valladolid,España,Castilla y León,41.6521807,-4.728605
100% Remoto,Sénégal,Région de Dakar,14.7534225,-17.291993943371573
Las Palmas De Gran Canaria,España,Desconocido,28.1288694,-15.4349015
Málaga,España,Andalucía,36.7213028,-4.4216366
Toledo,España,Castilla-La Mancha,39.8560679,-4.0239568
Santander,España,Cantabria,43.4618932,-3.8100255
Gijón,España,Asturias / Asturies,43.5449422,-5.66275
Logroño,España,La Rioja,42.4661196,-2.4396676
Sta. Cruz De Tenerife,España,Desconocido,28.467178,-16.2507843
Palma,España,Illes Balears,39.58125245,2.7092683401782343
Las Palmas De Gran Canaria,España,Desconocido,28.1288694,-15.4349015
La Rioja,España,La Rioja,42.3285528,-2.4674917
Granada,España,Andalucía,37.1734995,-3.5995337
Castellón,España,Comunitat Valenciana,40.25185675,-0.06150521083301791
Murcia,España,Región de Murcia,37.9923795,-1.1305431
A Coruña,España,Galicia,43.3709703,-8.3959425
Bulgaria,България,Desconocido,42.6073975,25.4856617
Asturias,España,Asturias / Asturies,43.3133868,-5.94192
Valencia,España,Comunitat Valenciana,39.4697065,-0.3763353
Oviedo,España,Asturias / Asturies,43.3618625,-5.8483581
Pamplona,España,Desconocido,42.81568595,-1.6522353378580308
Vitoria-Gasteiz,España,Euskadi,42.8465088,-2.6724025
Madrid,España,Comunidad de Madrid,40.4167047,-3.7035825
Malta,Malta,Desconocido,35.8885993,14.4476911
Guadalajara,México,Jalisco,20.6720375,-103.338396
Málaga,España,Andalucía,36.7213028,-4.4216366
Granada,España,Andalucía,37.1734995,-3.5995337
Tarragona,España,Catalunya,41.1172364,1.2546057
Melilla,España,Melilla,35.2918698,-2.9409026
London,United Kingdom,England,51.4893335,-0.14405508452768728
Alicante (Alacant),España,Comunitat Valenciana,38.3436365,-0.4881708
Andorra La Vella,Andorra,Desconocido,42.49791845,1.5032263738029337
Badajoz,España,Extremadura,38.878187,-6.9701115
Segovia,España,Castilla y León,40.9481192,-4.1172101
Palencia,España,Castilla y León,42.409632200000004,-4.616100410293067
Córdoba,España,Andalucía,37.8845813,-4.7760138
Bruselas,België / Belgique / Belgien,Desconocido,50.8465573,4.351697
León,España,Castilla y León,42.5989995,-5.5682413
Badajoz,España,Extremadura,38.878187,-6.9701115
Pontevedra,España,Galicia,42.4318876,-8.6431592
"Ámsterdam, Países Bajos",Nederland,Noord-Holland,52.3730796,4.8924534
Alcobendas,España,Comunidad de Madrid,40.5400082,-3.6358494
Jaén,España,Andalucía,37.9557275,-3.492055612037218
Navarra,España,Navarra - Nafarroa,42.61254875,-1.830787673361753
Sevilla,España,Andalucía,37.3886303,-5.9953403
Huelva,España,Andalucía,37.2575874,-6.9484945
Baleares,España,Illes Balears,39.613432,2.8829184529439633
Huesca,España,Aragón,42.13606145,-0.029802662719165485
León,España,Castilla y León,42.5989995,-5.5682413
"Lisboa, Portugal",Portugal,Desconocido,38.7077507,-9.1365919
Álava,España,Euskadi,42.844072249999996,-2.6820829322126283
Jaén,España,Andalucía,37.9557275,-3.492055612037218
A Coruña,España,Galicia,43.3709703,-8.3959425
Lérida,España,Catalunya,41.6147605,0.6267842
Chipre,Κύπρος - Kıbrıs,Κύπρος,34.9174159,32.889902651331866
"Ciudad De México, México",México,Ciudad de México,19.4326296,-99.1331785
San Sebastián,España,Euskadi,43.3224219,-1.9838889
Burgos,España,Castilla y León,42.343926,-3.696977
Sevilla,España,Andalucía,37.3886303,-5.9953403
Valladolid,España,Castilla y León,41.6521807,-4.728605
Zamora,España,Castilla y León,41.6857693,-5.942315044623113
Barcelona,España,Catalunya,41.3828939,2.1774322
Lugo,España,Galicia,43.0396042,-7.456607166509571
No Especificado,Colombia,La Guajira,12.201125999999999,-71.2999487636585
Alicante,España,Comunitat Valenciana,38.3436365,-0.4881708
Bilbao,España,Euskadi,43.2630018,-2.9350039
Valencia,España,Comunitat Valenciana,39.4697065,-0.3763353
Vigo,España,Galicia,42.2376602,-8.7247205
Ciudad Real,España,Castilla-La Mancha,38.959734749999996,-3.8828744402485436
Barcelona,España,Catalunya,41.3828939,2.1774322
Bayern,Deutschland,Bayern,48.9467562,11.4038717
Ourense,España,Galicia,42.1939629,-7.53712401397051
Murcia,España,Región de Murcia,37.9923795,-1.1305431
Alcoy,España,Comunitat Valenciana,38.6982348,-0.4747619
Zaragoza,España,Aragón,41.6521342,-0.8809428
Almería,España,Andalucía,36.8414197,-2.4628135
Girona,España,Catalunya,41.9793006,2.8199439
