id,idioma,nivel
id_tec_1,Inglés,Medio
id_tec_2,Inglés,Alto
id_tec_3,Alemán,Alto
id_tec_3,Inglés,Alto
id_tec_4,,
id_tec_5,Español,Excelente
id_tec_5,Inglés,Alto
id_tec_6,Inglés,Alto
id_tec_7,Inglés,Excelente
id_tec_7,Español,Excelente
id_tec_8,,
id_tec_9,,
id_tec_10,,
id_tec_11,,
id_tec_12,,
id_tec_13,,
id_tec_14,,
id_tec_15,,
id_tec_16,,
id_tec_17,Inglés,Alto
id_tec_18,Inglés,Alto
id_tec_18,Francés,Alto
id_tec_19,Inglés,Alto
id_tec_20,,
id_tec_21,,
id_tec_22,,
id_tec_23,,
id_tec_24,,
id_tec_25,,
id_tec_26,,
id_tec_27,,
id_tec_28,,
id_tec_29,,
id_tec_30,,
id_tec_31,,
id_tec_32,,
id_tec_33,,
id_tec_34,,
id_tec_35,Inglés,Alto
id_tec_36,Inglés,Alto
id_tec_37,,
id_tec_38,,
id_tec_39,,
id_tec_40,Inglés,Alto
id_tec_41,,
id_tec_42,,
id_tec_43,,
id_tec_44,,
id_tec_45,,
id_tec_46,,
id_tec_47,,
id_tec_48,,
id_tec_49,,
id_tec_50,,
id_tec_51,,
id_tec_52,,
id_tec_53,Italiano,Alto
id_tec_54,,
id_tec_55,,
id_tec_56,,
id_tec_57,,
id_tec_58,,
id_tec_59,Alemán,Alto
id_tec_60,Inglés,Alto
id_tec_61,,
id_tec_62,,
id_tec_63,,
id_tec_64,Español,Excelente
id_tec_65,,
id_tec_66,,
id_tec_67,Inglés,Alto
id_tec_68,Inglés,Alto
id_tec_69,Inglés,Alto
id_tec_70,,
id_tec_71,,
id_tec_72,Inglés,Alto
id_tec_73,,
id_tec_74,,
id_tec_75,Español,Excelente
id_tec_76,,
id_tec_77,,
id_tec_78,,
id_tec_79,Inglés,Medio
id_tec_80,,
id_tec_81,Inglés,Medio
id_tec_82,Inglés,Medio
id_tec_83,Español,Excelente
id_tec_84,Inglés,Alto
id_tec_85,,
id_tec_86,,
id_tec_87,,
id_tec_88,,
id_tec_89,,
id_tec_90,,
id_tec_91,,
id_tec_92,Inglés,Alto
id_tec_93,Inglés,Alto
id_tec_94,,
id_tec_95,Inglés,Alto
id_tec_96,,
id_tec_97,,
id_tec_98,,
id_tec_99,Inglés,Medio
id_tec_100,,
id_tec_101,,
id_tec_102,Inglés,Alto
id_tec_103,,
id_tec_104,,
id_tec_105,,
id_tec_106,Inglés,Alto
id_tec_107,Inglés,Alto
id_tec_108,Inglés,Alto
id_tec_109,Catalán,Alto
id_tec_110,Inglés,Medio
id_tec_111,Inglés,Excelente
id_tec_112,,
id_tec_113,,
id_tec_114,Inglés,Alto
id_tec_115,,
id_tec_116,,
id_tec_117,Inglés,Medio
id_tec_118,Inglés,Medio
id_tec_119,,
id_tec_120,,
id_tec_121,Inglés,Medio
id_tec_122,,
id_tec_123,,
id_tec_124,,
id_tec_125,Inglés,Alto
id_tec_126,,
id_tec_127,,
id_tec_128,Español,Excelente
id_tec_128,Catalán,Alto
id_tec_129,Español,Alto
id_tec_130,,
id_tec_131,,
id_tec_132,Inglés,Alto
id_tec_133,Inglés,Alto
id_tec_134,,
id_tec_135,,
id_tec_136,,
id_tec_137,Inglés,Alto
id_tec_138,,
id_tec_139,,
id_tec_140,,
id_tec_141,,
id_tec_142,,
id_tec_143,,
id_tec_144,,
id_tec_145,,
id_tec_146,,
id_tec_147,,
id_tec_148,,
id_tec_149,,
id_tec_150,,
id_tec_151,,
id_tec_152,,
id_tec_153,,
id_tec_154,,
id_tec_155,,
id_tec_156,,
id_tec_157,,
id_tec_158,,
id_tec_159,,
id_tec_160,,
id_tec_161,,
id_tec_162,,
id_tec_163,,
id_tec_164,,
id_tec_165,,
id_tec_166,,
id_tec_167,,
id_tec_168,,
id_tec_169,,
id_tec_170,,
id_tec_171,,
id_tec_172,,
id_tec_173,,
id_tec_174,,
id_tec_175,,
id_tec_176,,
id_tec_177,,
id_tec_178,,
id_tec_179,,
id_tec_180,,
id_tec_181,,
id_tec_182,,
id_tec_183,,
id_tec_184,,
id_tec_185,,
id_tec_186,,
id_tec_187,,
id_tec_188,,
id_tec_189,,
id_tec_190,,
id_tec_191,,
id_tec_192,,
id_tec_193,,
id_tec_194,,
id_tec_195,,
id_tec_196,,
id_tec_197,,
id_tec_198,,
id_tec_199,,
id_tec_200,,
id_tec_201,,
id_tec_202,,
id_tec_203,,
id_tec_204,,
id_tec_205,,
id_tec_206,Inglés,Alto
id_tec_207,,
id_tec_208,,
id_tec_209,,
id_tec_210,,
id_tec_211,,
id_tec_212,,
id_tec_213,,
id_tec_214,,
id_tec_215,,
id_tec_216,,
id_tec_217,,
id_tec_218,,
id_tec_219,Inglés,Alto
id_tec_220,Inglés,Alto
id_tec_221,,
id_tec_222,,
id_tec_223,,
id_tec_224,,
id_tec_225,,
id_tec_226,,
id_tec_227,,
id_tec_228,,
id_tec_229,,
id_tec_230,,
id_tec_231,,
id_tec_232,,
id_tec_233,,
id_tec_234,,
id_tec_235,,
id_tec_236,,
id_tec_237,,
id_tec_238,,
id_tec_239,,
id_tec_240,,
id_tec_241,,
id_tec_242,,
id_tec_243,,
id_tec_244,,
id_tec_245,Inglés,Alto
id_tec_246,,
id_tec_247,,
id_tec_248,,
id_tec_249,,
id_tec_250,,
id_tec_251,Inglés,Alto
id_tec_252,,
id_tec_253,,
id_tec_254,,
id_tec_255,,
id_tec_256,,
id_tec_257,,
id_tec_258,Inglés,Medio
id_tec_259,Inglés,Alto
id_tec_260,,
id_tec_261,Inglés,Alto
id_tec_261,Alemán,Alto
id_tec_262,,
id_tec_263,Inglés,Alto
id_tec_264,Inglés,Alto
id_tec_265,,
id_tec_266,,
id_tec_267,,
id_tec_268,Inglés,Medio
id_tec_269,,
id_tec_270,,
id_tec_271,,
id_tec_272,,
id_tec_273,Inglés,Alto
id_tec_274,,
id_tec_275,,
