id,ciudades
id_tec_1,100% remoto
id_tec_2,Barcelona
id_tec_3,Lleida
id_tec_4,Madrid
id_tec_5,100% remoto
id_tec_6,100% remoto
id_tec_7,100% remoto
id_tec_8,Madrid
id_tec_9,100% remoto
id_tec_10,100% remoto
id_tec_11,Barcelona
id_tec_12,Barcelona
id_tec_13,Madrid
id_tec_14,Málaga
id_tec_15,Madrid
id_tec_16,Barcelona
id_tec_17,Madrid
id_tec_18,Madrid
id_tec_19,Valencia
id_tec_20,100% remoto
id_tec_21,100% remoto
id_tec_22,100% remoto
id_tec_23,Madrid
id_tec_24,Madrid
id_tec_25,Madrid
id_tec_26,Madrid
id_tec_27,Madrid
id_tec_28,Madrid
id_tec_29,Madrid
id_tec_30,Madrid
id_tec_31,Madrid
id_tec_32,Madrid
id_tec_33,Madrid
id_tec_34,Madrid
id_tec_35,Madrid
id_tec_36,Madrid
id_tec_37,Madrid
id_tec_38,100% remoto
id_tec_39,100% remoto
id_tec_40,Madrid
id_tec_41,Madrid
id_tec_42,Barcelona
id_tec_43,Barcelona
id_tec_44,100% remoto
id_tec_45,Barcelona
id_tec_46,Madrid
id_tec_47,Madrid
id_tec_48,Madrid
id_tec_49,Málaga
id_tec_50,100% remoto
id_tec_51,Barcelona
id_tec_52,Barcelona
id_tec_53,Madrid
id_tec_54,Barcelona
id_tec_55,Madrid
id_tec_56,100% remoto
id_tec_57,100% remoto
id_tec_58,100% remoto
id_tec_59,No especificado
id_tec_60,Madrid
id_tec_61,Barcelona
id_tec_62,Málaga
id_tec_63,Madrid
id_tec_64,Málaga
id_tec_65,100% remoto
id_tec_66,Barcelona
id_tec_67,100% remoto
id_tec_68,Madrid
id_tec_69,Madrid
id_tec_70,Madrid
id_tec_71,Madrid
id_tec_72,100% remoto
id_tec_73,Madrid
id_tec_74,100% remoto
id_tec_75,Baleares
id_tec_76,Barcelona
id_tec_77,Madrid
id_tec_78,Madrid
id_tec_79,Madrid
id_tec_80,Madrid
id_tec_81,Madrid
id_tec_82,Alicante
id_tec_83,100% remoto
id_tec_84,Madrid
id_tec_85,Madrid
id_tec_86,100% remoto
id_tec_87,Sevilla
id_tec_88,100% remoto
id_tec_89,Madrid
id_tec_90,Madrid
id_tec_91,100% remoto
id_tec_92,100% remoto
id_tec_93,Madrid
id_tec_94,Madrid
id_tec_95,Madrid
id_tec_96,100% remoto
id_tec_97,Madrid
id_tec_98,100% remoto
id_tec_99,100% remoto
id_tec_100,100% remoto
id_tec_101,Madrid
id_tec_102,Madrid
