Ciudad,País,Latitud,Longitud
VALENCIA,España,39.4697065,-0.3763353
MÁLAGA,España,36.7213028,-4.4216366
LÉRIDA,España,41.6147605,0.6267842
ALCOY,España,38.6982348,-0.4747619
BARCELONA,España,41.3828939,2.1774322
VITORIA-GASTEIZ,España,42.8465088,-2.6724025
PAMPLONA,España,42.81568595,-1.6522353378580308
ALICANTE (ALACANT),España,38.3436365,-0.4881708
SEVILLA,España,37.3886303,-5.9953403
"LISBOA, PORTUGAL",Portugal,38.7077507,-9.1365919
"MILÁN, ITALIA",Italia,45.4641943,9.1896346
MADRID,España,40.4167047,-3.7035825
PALMA,España,39.58125245,2.7092683401782343
LEÓN,España,42.5989995,-5.5682413
BILBAO,España,43.2630018,-2.9350039
ZARAGOZA,España,41.6521342,-0.8809428
MURCIA,España,37.9923795,-1.1305431
LAS PALMAS DE GRAN CANARIA,España,28.1288694,-15.4349015
SAN SEBASTIÁN,España,43.3224219,-1.9838889
VALLADOLID,España,41.6521807,-4.728605
GRANADA,España,37.1734995,-3.5995337
VIGO,España,42.2376602,-8.7247205
GIJÓN,España,43.5449422,-5.66275
"CIUDAD DE MÉXICO, MÉXICO",México,19.4326296,-99.1331785
ALCOBENDAS,España,40.5400082,-3.6358494
OVIEDO,España,43.3618625,-5.8483581
A CORUÑA,España,43.3709703,-8.3959425
BERGONDO,España,43.312425,-8.247019742963623
SANTANDER,España,43.4618932,-3.8100255
BADAJOZ,España,38.878187,-6.9701115
"ÁMSTERDAM, PAÍSES BAJOS",Nederland,52.3730796,4.8924534
LOGROÑO,España,42.4661196,-2.4396676
JAÉN,España,37.9557275,-3.492055612037218
