id,Presencial
id_man_1,MADRID
id_man_2,BARCELONA
id_man_3,MADRID
id_man_4,MADRID
id_man_5,MADRID
id_man_5,SEVILLA
id_man_5,PALMA
id_man_6,MADRID
id_man_7,MADRID
id_man_8,MÁLAGA
id_man_9,ZARAGOZA
id_man_10,
id_man_11,MADRID
id_man_12,
id_man_13,
id_man_14,MADRID
id_man_15,
id_man_16,MADRID
id_man_17,MADRID
id_man_18,
id_man_19,MADRID
id_man_20,MADRID
id_man_21,
id_man_22,MADRID
id_man_22,A CORUÑA
id_man_23,
id_man_24,MADRID
id_man_25,SEVILLA
id_man_26,VALENCIA
id_man_27,LOGROÑO
id_man_28,
id_man_29,
id_man_30,
id_man_31,A CORUÑA
id_man_32,
id_man_33,MADRID
id_man_34,
id_man_35,
id_man_36,MADRID
id_man_37,
id_man_38,
id_man_39,
id_man_40,BARCELONA
id_man_41,MADRID
id_man_42,
id_man_43,
id_man_44,
id_man_45,A CORUÑA
id_man_46,
id_man_47,
id_man_48,
id_man_49,MADRID
id_man_50,MADRID
id_man_51,
id_man_52,
id_man_53,
id_man_54,
id_man_55,BARCELONA
id_man_56,
id_man_57,MADRID
id_man_58,
id_man_59,
id_man_60,
id_man_61,
id_man_62,
id_man_63,MADRID
id_man_64,
id_man_65,
id_man_66,
id_man_67,
id_man_68,MADRID
id_man_69,
id_man_70,
id_man_71,
id_man_72,
id_man_73,BARCELONA
id_man_74,MADRID
id_man_75,MADRID
id_man_76,MADRID
id_man_77,BARCELONA
id_man_78,
id_man_79,
id_man_80,
id_man_81,VALENCIA
id_man_82,MADRID
id_man_83,MADRID
id_man_84,BARCELONA
id_man_85,MADRID
id_man_86,MADRID
id_man_87,MADRID
id_man_88,MADRID
id_man_89,
id_man_90,
id_man_91,VIGO
id_man_92,
id_man_93,MADRID
id_man_94,
id_man_95,A CORUÑA
id_man_96,
id_man_97,A CORUÑA
id_man_98,VALENCIA
id_man_99,
id_man_100,
id_man_101,MADRID
id_man_102,MADRID
id_man_103,
id_man_104,
id_man_105,
id_man_106,
id_man_107,MADRID
id_man_107,ZARAGOZA
id_man_108,
id_man_109,A CORUÑA
id_man_110,MADRID
id_man_111,
id_man_112,MADRID
id_man_113,MADRID
id_man_114,
id_man_115,
id_man_116,
id_man_117,
id_man_118,
id_man_119,
id_man_120,MADRID
id_man_121,MADRID
id_man_122,
id_man_123,
id_man_124,MADRID
id_man_125,LEÓN
id_man_126,
id_man_127,MADRID
id_man_128,
id_man_129,
id_man_130,MADRID
id_man_131,MADRID
id_man_131,ZARAGOZA
id_man_132,
id_man_133,A CORUÑA
id_man_134,MADRID
id_man_135,
id_man_136,
id_man_137,
id_man_138,
id_man_139,ZARAGOZA
id_man_139,MADRID
id_man_140,
id_man_141,MADRID
id_man_142,
id_man_143,
id_man_144,MADRID
id_man_145,MADRID
id_man_146,
id_man_147,MADRID
id_man_148,MADRID
id_man_149,
id_man_150,
id_man_151,
id_man_152,
id_man_153,
id_man_154,
id_man_155,A CORUÑA
id_man_156,
id_man_157,
id_man_158,A CORUÑA
id_man_159,LAS PALMAS DE GRAN CANARIA
id_man_160,BARCELONA
id_man_161,
id_man_162,MADRID
id_man_163,MADRID
id_man_164,
id_man_165,
id_man_166,MADRID
id_man_167,VALENCIA
id_man_168,
id_man_169,SEVILLA
id_man_170,
id_man_171,VALENCIA
id_man_172,
id_man_173,MADRID
id_man_174,
id_man_175,
id_man_176,A CORUÑA
id_man_177,
id_man_178,
id_man_179,MADRID
id_man_180,MADRID
id_man_181,MADRID
id_man_182,BARCELONA
id_man_183,
id_man_184,
id_man_185,
id_man_186,
id_man_187,BARCELONA
id_man_188,
id_man_189,
id_man_190,MADRID
id_man_191,
id_man_192,
id_man_193,MADRID
id_man_194,
id_man_195,MURCIA
id_man_196,
id_man_197,A CORUÑA
id_man_198,
id_man_199,
id_man_200,
id_man_201,PALMA
id_man_202,
id_man_203,
id_man_204,
