id,Cluster
id_man_1,0
id_man_10,0
id_man_100,0
id_man_1000,0
id_man_1001,0
id_man_1002,0
id_man_1003,0
id_man_1004,0
id_man_1005,0
id_man_1006,0
id_man_1007,0
id_man_1008,1
id_man_1009,0
id_man_101,0
id_man_1010,1
id_man_1011,1
id_man_1012,0
id_man_1013,0
id_man_1014,2
id_man_1015,0
id_man_1016,1
id_man_1017,1
id_man_1018,0
id_man_1019,0
id_man_102,2
id_man_1020,0
id_man_1021,0
id_man_1022,0
id_man_1023,0
id_man_1024,0
id_man_1025,0
id_man_1026,0
id_man_1027,0
id_man_1028,0
id_man_1029,0
id_man_103,0
id_man_1030,0
id_man_1031,0
id_man_1032,0
id_man_1033,0
id_man_1034,0
id_man_1035,0
id_man_1036,0
id_man_1037,1
id_man_1038,0
id_man_1039,0
id_man_104,0
id_man_1040,0
id_man_1041,0
id_man_1042,0
id_man_1043,0
id_man_1044,0
id_man_1045,2
id_man_1046,0
id_man_1047,0
id_man_1048,0
id_man_1049,0
id_man_105,0
id_man_1050,0
id_man_1051,0
id_man_1052,0
id_man_1053,0
id_man_1054,0
id_man_1055,0
id_man_1056,0
id_man_1057,0
id_man_1058,0
id_man_1059,0
id_man_106,0
id_man_1060,0
id_man_1061,1
id_man_1062,0
id_man_1063,0
id_man_1064,0
id_man_1065,0
id_man_1066,0
id_man_1067,1
id_man_1068,0
id_man_1069,0
id_man_107,0
id_man_1070,0
id_man_1071,2
id_man_1072,0
id_man_1073,0
id_man_1074,0
id_man_1075,0
id_man_1076,0
id_man_1077,0
id_man_1078,0
id_man_1079,0
id_man_108,0
id_man_1080,0
id_man_1081,0
id_man_1082,0
id_man_1083,0
id_man_1084,0
id_man_1085,0
id_man_1086,2
id_man_1087,0
id_man_1088,0
id_man_1089,0
id_man_109,0
id_man_1090,2
id_man_1091,1
id_man_1092,1
id_man_1093,0
id_man_1094,2
id_man_1095,0
id_man_1096,0
id_man_1097,0
id_man_1098,0
id_man_1099,0
id_man_11,0
id_man_110,2
id_man_1100,0
id_man_1101,0
id_man_1102,1
id_man_1103,0
id_man_1104,0
id_man_1105,0
id_man_1106,0
id_man_1107,0
id_man_1108,1
id_man_1109,1
id_man_111,0
id_man_1110,0
id_man_1111,0
id_man_1112,2
id_man_1113,2
id_man_1114,0
id_man_1115,0
id_man_1116,0
id_man_1117,0
id_man_1118,0
id_man_1119,1
id_man_112,0
id_man_1120,0
id_man_1121,0
id_man_1122,0
id_man_1123,0
id_man_1124,0
id_man_1125,1
id_man_1126,0
id_man_1127,0
id_man_1128,0
id_man_1129,0
id_man_113,0
id_man_1130,0
id_man_1131,0
id_man_1132,0
id_man_1133,0
id_man_1134,0
id_man_1135,1
id_man_1136,0
id_man_1137,1
id_man_1138,0
id_man_1139,0
id_man_114,0
id_man_1140,2
id_man_1141,0
id_man_1142,0
id_man_1143,0
id_man_1144,0
id_man_1145,0
id_man_1146,1
id_man_1147,0
id_man_1148,2
id_man_1149,0
id_man_115,0
id_man_1150,0
id_man_1151,0
id_man_1152,0
id_man_1153,1
id_man_1154,0
id_man_1155,0
id_man_1156,1
id_man_1157,2
id_man_1158,0
id_man_1159,0
id_man_116,0
id_man_1160,0
id_man_1161,0
id_man_1162,1
id_man_1163,0
id_man_1164,0
id_man_1165,0
id_man_1166,0
id_man_1167,0
id_man_1168,0
id_man_1169,0
id_man_117,0
id_man_1170,0
id_man_1171,0
id_man_1172,0
id_man_1173,0
id_man_1174,0
id_man_1175,0
id_man_1176,0
id_man_1177,0
id_man_1178,0
id_man_1179,0
id_man_118,0
id_man_1180,0
id_man_1181,0
id_man_1182,0
id_man_1183,2
id_man_1184,0
id_man_1185,0
id_man_1186,0
id_man_1187,0
id_man_1188,0
id_man_1189,0
id_man_119,1
id_man_1190,0
id_man_1191,0
id_man_1192,0
id_man_1193,0
id_man_1194,0
id_man_1195,0
id_man_1196,0
id_man_1197,1
id_man_1198,0
id_man_1199,1
id_man_12,0
id_man_120,0
id_man_1200,0
id_man_1201,0
id_man_1202,0
id_man_1203,0
id_man_1204,0
id_man_1205,0
id_man_1206,0
id_man_1207,1
id_man_1208,0
id_man_1209,1
id_man_121,0
id_man_1210,1
id_man_1211,0
id_man_1212,0
id_man_1213,0
id_man_1214,0
id_man_1215,0
id_man_1216,0
id_man_1217,0
id_man_1218,1
id_man_1219,0
id_man_122,0
id_man_1220,0
id_man_1221,0
id_man_1222,0
id_man_1223,0
id_man_1224,0
id_man_1225,0
id_man_1226,0
id_man_1227,0
id_man_1228,0
id_man_1229,0
id_man_123,0
id_man_1230,0
id_man_1231,0
id_man_1232,0
id_man_1233,0
id_man_1234,0
id_man_1235,0
id_man_1236,0
id_man_1237,0
id_man_1238,0
id_man_1239,0
id_man_124,0
id_man_1240,0
id_man_1241,0
id_man_1242,0
id_man_1243,0
id_man_1244,0
id_man_1245,0
id_man_1246,0
id_man_1247,0
id_man_1248,0
id_man_1249,0
id_man_125,0
id_man_1250,0
id_man_126,0
id_man_127,0
id_man_128,0
id_man_129,0
id_man_13,1
id_man_130,0
id_man_131,0
id_man_132,0
id_man_133,0
id_man_134,0
id_man_135,0
id_man_136,0
id_man_137,1
id_man_138,0
id_man_139,0
id_man_14,0
id_man_140,0
id_man_141,0
id_man_142,0
id_man_143,0
id_man_144,0
id_man_145,0
id_man_146,0
id_man_147,0
id_man_148,2
id_man_149,0
id_man_15,0
id_man_150,0
id_man_151,0
id_man_152,0
id_man_153,1
id_man_154,0
id_man_155,0
id_man_156,0
id_man_157,0
id_man_158,2
id_man_159,0
id_man_16,0
id_man_160,0
id_man_161,0
id_man_162,0
id_man_163,0
id_man_164,0
id_man_165,0
id_man_166,0
id_man_167,0
id_man_168,0
id_man_169,2
id_man_17,0
id_man_170,2
id_man_171,0
id_man_172,0
id_man_173,0
id_man_174,1
id_man_175,0
id_man_176,2
id_man_177,0
id_man_178,0
id_man_179,0
id_man_18,1
id_man_180,0
id_man_181,0
id_man_182,0
id_man_183,0
id_man_184,0
id_man_185,0
id_man_186,0
id_man_187,0
id_man_188,0
id_man_189,0
id_man_19,0
id_man_190,0
