id,Título,URL,Time Stamp,Fecha publicacion,Habilidades,Nombre de empresa,Ciudad,Teletrabajo,Imprescindible Residir,Funciones,Jornada,Experiencia,Tipo contrato,Formación Mínima,Nivel Profesional,CVs inscritos en el proceso,Salario,Número de puestos,Incentivos,Personas a cargo,+ Países,Info Otros Países,salario_desde,salario_hasta
id_tec_1,UrgenteArquitecto Soluciones Observabilidad,https://www.tecnoempleo.com/arquitecto-soluciones-observabilidad-npr-spain/elk-grafana-python-linux-aw/rf-f00d1747f20d039c014e,2025-02-22 17:03:04,2025-02-21,"['Arquitecto TIC', 'Técnico de Sistemas']",NPR Spain,100% remoto,Presencial,País Puesto,Arquitecto TIC,Jornada completa,Más de 5 años,Indefinido,Grado Medio,Empleado,20,,,,,,,,
id_tec_2,UrgenteData Analyst BI - Junior,https://www.tecnoempleo.com/data-analyst-bi-junior-infinity-neural/sql-sql-server-power-bi-tableau-qli/rf-8db013e572a313247d4a,2025-02-22 17:03:05,2025-02-21,"['Analista', 'Big Data']",Infinity Neural,Barcelona,Híbrido,Provincia Puesto,Analista,Jornada completa,2 años,Indefinido,Grado EEES (Bolonia),Empleado,23,,,,,,,,
id_tec_3,UrgenteIT Project Manager,https://www.tecnoempleo.com/it-project-manager-talentea-recruitment/sage-python-sql-project-manager/rf-09ee1d1a3210c388ff41,2025-02-22 17:03:06,2025-02-21,"['Arquitecto TIC', 'Inteligencia Artificial/Machine Learning', 'Jefe de Proyecto']",Talentea Recruitment,Lleida,Presencial,Provincia Puesto,Arquitecto TIC,Jornada completa,3-5 años,Indefinido,Ingeniero Técnico,Mando Intermedio,4,36.000 € - 60.000 € Bruto/año,,,,,,36.0,60.0
id_tec_4,UrgenteSysAdmin/XOps Junior,https://www.tecnoempleo.com/sysadmin-xops-junior-beskar-forge/linux-virtualizacion-nginx-lamp-sql-wind/rf-3be7101b32a9f32c6245,2025-02-22 17:03:07,2025-02-21,"['Base de Datos/DBA', 'Redes', 'Técnico de Sistemas']",Beskar Forge,Madrid,Híbrido,,Base de Datos/DBA,Jornada completa,2 años,Indefinido,FP2/Grado Superior,Empleado,44,27.000 € - 30.000 € Bruto/año,2.0,"Flexibilidad, bonuses, extra vacacion+permiso",,,,27.0,30.0
id_tec_5,UrgenteIT System Administrator/Web Developer,https://www.tecnoempleo.com/it-system-administrator-web-developer-dacdigital/git-kubernetes-docker-agi/rf-6c431470420be3c4b146,2025-02-22 17:03:07,2025-02-21,"['Administrador', 'Programador', 'Técnico de Sistemas']",DAC.digital,100% remoto,Presencial,No requerido,Administrador,Jornada completa,3-5 años,Freelance/Autónomo,Sin estudios,Especialista,116,2.700 € - 6.000 € Bruto/mes,,,,,,32.4,72.0
id_tec_6,UrgenteIntegration Specialist,https://www.tecnoempleo.com/integration-specialist-gstock-web-app/php-mysql-git-symfony-api-etl-sql-ja/rf-b14e1d3282dea3a42b40,2025-02-22 17:03:08,2025-02-21,"['Analista Programador', 'Consultor', 'Programador']",Gstock Web App,100% remoto,Presencial,País Puesto,Analista Programador,Intensiva Mañana,1 año,Indefinido,FP2/Grado Superior,Empleado,90,21.000 € - 24.000 € Bruto/año,,,,,,21.0,24.0
id_tec_7,UrgenteData Engineer with Snowflake,https://www.tecnoempleo.com/data-engineer-with-snowflake-dacdigital/snowflake-git-agile-data-managemen/rf-dd0a133a32934329774c,2025-02-22 17:03:09,2025-02-21,['Big Data'],DAC.digital,100% remoto,Presencial,No requerido,Big Data,Jornada completa,3-5 años,Freelance/Autónomo,Sin estudios,Especialista,31,2.700 € - 6.000 € Bruto/mes,,,,,,32.4,72.0
id_tec_8,UrgenteGestor de Proyectos .Net,https://www.tecnoempleo.com/gestor-proyectos-net-tecnonalia-network/net-sql-git-jira/rf-e60818358203e302bd43,2025-02-22 17:03:10,2025-02-21,"['Jefe de Equipo', 'Jefe de Proyecto']",Tecnonalia Network,Madrid,Presencial,,Jefe de Equipo,Jornada completa,Más de 5 años,Indefinido,Diplomado,Empleado,54,42.000 € - 48.000 € Bruto/año,,Si. Bonus.,,,,42.0,48.0
id_tec_9,UrgenteOnline Data Analyst Spanish (ES),https://www.tecnoempleo.com/online-data-analyst-spanish-es-telus-international/java/rf-6e56165182c513ef9441,2025-02-22 17:03:10,2025-02-21,['Analista'],TELUS International,100% remoto,Presencial,País Puesto,Analista,Por horas,Sin Experiencia,Freelance/Autónomo,E.S.O. (Educación Secundaria Obligatoria),Prácticas / Beca,142,,50.0,,,,,,
id_tec_10,iOS Native developers,https://www.tecnoempleo.com/ios-native-developers-page-personnel/ios-swift-java/rf-9257150d6295d33e384c,2025-02-22 17:03:11,2025-02-22,"['Desarrollador Móvil', 'Programador']",Page Personnel,100% remoto,Presencial,,Desarrollador Móvil,Jornada completa,Más de 5 años,Freelance/Autónomo,,Empleado,4,,,,,,,,
