salario_media,variable,variable_booleano,vacaciones,teletrabajo,jornada_tipo,funciones,contrato_tipo,nivel_profesional,formacion_minima,personas_a_cargo,experiencia,num_tecnologias,num_habilidades,id
42.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,4.0,8.0,0.0,3.0,10.0,2.0,id_tec_1
39.9,0.0,0.0,22.0,1.0,2.0,1.0,0.0,4.0,7.0,0.0,2.0,8.0,2.0,id_tec_2
48.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,8.0,3.0,id_tec_3
28.5,0.0,0.0,22.0,1.0,2.0,2.0,0.0,4.0,6.0,0.0,2.0,4.0,3.0,id_tec_4
52.2,0.0,0.0,22.0,0.0,2.0,3.0,3.0,3.0,12.0,0.0,2.0,10.0,3.0,id_tec_5
22.5,0.0,0.0,22.0,0.0,0.0,4.0,0.0,4.0,6.0,0.0,1.0,7.0,3.0,id_tec_6
52.2,0.0,0.0,22.0,0.0,2.0,5.0,3.0,3.0,12.0,0.0,2.0,1.0,1.0,id_tec_7
45.0,0.0,0.0,22.0,0.0,2.0,6.0,0.0,4.0,5.0,0.0,3.0,10.0,2.0,id_tec_8
38.4,0.0,0.0,22.0,0.0,5.0,1.0,3.0,5.0,10.0,0.0,0.0,8.0,1.0,id_tec_9
52.339999999999996,0.0,0.0,22.0,0.0,2.0,7.0,3.0,4.0,6.2,0.0,3.0,2.0,2.0,id_tec_10
50.2,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,12.0,0.0,2.0,4.0,1.0,id_tec_11
44.7,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,6.6,0.0,2.0,5.0,1.0,id_tec_12
62.0,0.0,0.0,22.0,1.0,2.0,1.0,0.0,3.0,10.0,0.0,3.0,3.0,3.0,id_tec_13
42.0,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,7.0,0.0,2.0,3.0,1.0,id_tec_14
36.6,0.0,0.0,22.0,1.0,2.0,9.0,0.0,4.0,4.4,0.0,2.0,1.0,2.0,id_tec_15
44.7,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,6.6,0.0,2.0,5.0,1.0,id_tec_16
49.7,0.0,0.0,22.0,1.0,2.0,1.0,0.0,3.0,10.0,0.0,3.0,3.0,2.0,id_tec_17
42.0,0.0,0.0,22.0,1.0,2.0,10.0,0.0,3.0,2.0,0.0,2.0,2.0,1.0,id_tec_18
53.0,0.0,0.0,22.0,0.0,2.0,11.0,0.0,3.0,1.0,0.0,2.0,3.0,3.0,id_tec_19
37.5,0.0,0.0,22.0,0.0,2.0,4.0,0.0,4.0,5.0,0.0,3.0,10.0,2.0,id_tec_20
32.7,0.0,0.0,22.0,0.0,2.0,5.0,0.0,4.0,7.8,0.0,2.0,3.0,2.0,id_tec_21
47.8,0.0,0.0,22.0,0.0,2.0,12.0,0.0,4.0,6.6,0.0,2.0,2.0,1.0,id_tec_22
41.1,0.0,0.0,22.0,0.0,2.0,13.0,0.0,4.0,5.0,0.0,2.0,4.0,2.0,id_tec_23
45.3,0.0,0.0,22.0,0.0,2.0,6.0,0.0,4.0,5.6,0.0,2.0,5.0,2.0,id_tec_24
42.8,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,6.8,0.0,2.0,3.0,1.0,id_tec_25
32.7,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,7.0,0.0,1.0,4.0,1.0,id_tec_26
42.8,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,6.8,0.0,2.0,3.0,1.0,id_tec_27
37.8,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,7.6,0.0,2.0,1.0,1.0,id_tec_28
31.4,0.0,0.0,22.0,0.0,2.0,14.0,0.0,4.0,4.6,0.0,2.0,9.0,2.0,id_tec_29
30.5,0.0,0.0,22.0,0.0,2.0,15.0,0.0,4.0,4.2,0.0,2.0,7.0,1.0,id_tec_30
44.7,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,6.6,0.0,2.0,5.0,1.0,id_tec_31
37.5,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,6.0,0.0,2.0,5.0,1.0,id_tec_32
41.4,0.0,0.0,22.0,1.0,2.0,12.0,0.0,4.0,8.6,0.0,2.0,6.0,1.0,id_tec_33
40.5,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,5.4,0.0,3.0,10.0,1.0,id_tec_34
42.3,0.0,0.0,22.0,0.0,2.0,13.0,0.0,4.0,4.8,0.0,2.0,5.0,1.0,id_tec_35
35.7,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,5.0,0.0,2.0,2.0,1.0,id_tec_36
