habilidades,hab_id
Pensamiento creativo,1
Tolerancia a la incertidumbre,2
Resistencia a la frustración,3
Comunicación verbal,4
Capacidad de escucha,5
Capacidad de mentorización,6
Capacidad de dar feedback,7
Adaptabilidad al cambio,8
Visión estratégica,9
Proactividad,10
Capacidad de recibir feedback,11
Trabajo en equipo,12
Habilidades de negociación,13
Liderazgo,14
Atención al detalle,15
Inteligencia emocional,16
Capacidad de abstracción,17
Capacidad de presentación,18
Comunicación escrita,19
Pensamiento analítico,20
Comunicación intercultural,21
Autonomía en el aprendizaje,22
Capacidad de autogestión,23
Aprendizaje Continuo,24
Gestión de equipo,25
Visión crítica,26
