Título,URL,Time Stamp,Fecha publicacion,,Imprescindible Residir,Funciones,Jornada,Experiencia,Tipo contrato,Salario,Alta Candidato,Acceso Empresas,Alta Empresa Gratis,Big Data,Idiomas,Formación Mínima,Nivel Profesional,CVs inscritos en el proceso,AdministradorProgramadorTécnico de Sistemas,Otras Provincias,AdministradorConsultor,Big DataInteligencia Artificial/Machine Learning,ComercialConsultor,Número de puestos,Incentivos,AdministradorRedesTécnico de Sistemas,Personas a cargo,Jefe de ProyectoTécnico de Gestión,Analista ProgramadorConsultorProgramador,Programador,Soporte Técnico,Consultor,Arquitecto TIC,Arquitecto TICDevOpsTécnico de Sistemas,Arquitecto TICDevOps,Técnico de Sistemas,Jefe de Equipo,+ Países,Info Otros Países,Diseño gráfico,Tester,Formador,AnalistaConsultor,Analista ProgramadorProgramador,HelpdeskTécnico Hardware,Analista,AnalistaBig Data,AnalistaAnalista ProgramadorProgramador,Analista ProgramadorInteligencia Artificial/Machine LearningProgramador,Analista ProgramadorBig DataIngenieros/Industria,Jefe de Proyecto,Jefe de EquipoJefe de Proyecto,RedesSoporte Técnico,AdministradorTécnico de Sistemas,HelpdeskRedesSoporte Técnico,Analista ProgramadorAnalista,Desarrollador MóvilProgramador,Ingenieros/Industria,CiberseguridadRedes,Jefe de EquipoProgramador,Arquitecto TICTécnico de Sistemas,Big DataConsultor,ElectrónicaProgramador,Ciberseguridad,ML GenIA,Salesforce,Tableau,Api First,LAN,Kibana,vmware,Api rest,microinformatica,Vue,network,javascript,spring,docker,sap,node.js,snowflake,Arquitectura distribuida hexagonal,colas,SonarSource,AsyncAPI,Appian,GCP,team management,SDK,ia,Oauth,data management,wifi,SAP TRM,Maven,doors,TestRail,postgresql,helpdesk,typo3,big data,azure,excel,sql server,TypeScript,marketing,soporte,etl,HyperV,Oracle,Java,symfony,software,Github,figma,salesforce,Scrum,SQL,api,AWS,One identity Safeguard,pmp,IA,Rust,TCP/IP,protobuf,Citrix,jenkins,redes,hp nonstop,data,scrum,iOS,CISSP,hana,UML,Duplo,aws,Mikrotik,SLA,SIEM,Python,HANA,VMWare,Node,lan,Terraform,scala,ESX,Inteligencia artificial,RTCP,.net,C++,copilot,HTML,pl/sql,Redes,OSS,ITIL,Typescript,QA,linux,Atlassian,Spring Framework,cloud,kubernetes,vpn,listas,mysql,PAM,OpenAPI,jira,Sonar,react native,kanban,gRPC,ongoing,HPE,gcp,Jira,git,Scala,Calypso,oracle,SAP,crm,typescript,arrays,Kubernetes,hashMaps sets.,sql,MOCKITO,Synapse,java,JavaScript,CI/CD,active directory,rest,SonarQube,DDD,estructura de datos,swagger,Mulesoft,BI,Windows,agile,itil,machine learning,chatgpt,OpenApi,Azure,UX,Databricks,ETL,HP Nonstop,JUnit,Kafka,dbt,ticketing,Datafactory,Swift,C,React,Spine 2D,php,WAN,fortinet,cisco,pilas,N8N,Mongodb,shadowbase,Linux,Spring,confluence,angular,AVD,react,ciberseguridad,CSS,j2ee,ci/cd,RDF,Jenkins,ASP NET MVC,formacion,KPI,c nist,api rest,windows,IAM,office 365,python,net,Microstrategy,Kanban,TACL,Spark,Liferay,Opentrack,avro,Javascript
UrgenteData Engineer with Snowflake,https://www.tecnoempleo.com/data-engineer-with-snowflake-dacdigital/snowflake-git-agile-data-managemen/rf-dd0a133a32934329774c,2025-02-14 10:03:00,14/02/2025Actualizada,100% En remoto,Not Required,Big Data,Jornada completa,3-5 años,Freelance/Autónomo,2.700 € - 6.000 € Bruto/mes,No especificado,No especificado,No especificado,No especificado,Inglés (Alto),Sin estudios,Especialista,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UrgenteIT System Administrator/Web Developer,https://www.tecnoempleo.com/it-system-administrator-web-developer-dacdigital/git-kubernetes-docker-agi/rf-6c431470420be3c4b146,2025-02-14 10:03:00,14/02/2025Actualizada,100% En remoto,Not Required,Administrador,Jornada completa,3-5 años,Freelance/Autónomo,2.700 € - 6.000 € Bruto/mes,No especificado,No especificado,No especificado,,"Alemán (Alto)										| 
										Inglés (Alto)",Sin estudios,Especialista,69,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UrgenteAdministrador Atlassian,https://www.tecnoempleo.com/administrador-atlassian-excentia/atlassian-sonarsource/rf-2cd5174f926f83f2bb4e,2025-02-14 10:03:00,14/02/2025Actualizada,Valencia(Híbrido),España,Administrador,Jornada completa,3-5 años,Indefinido,,No especificado,No especificado,No especificado,,Inglés (Medio),Ingeniero Técnico,Empleado,47,,"Alicante, Barcelona, Castellón y Madrid",No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UrgentePreventa - Experto IA,https://www.tecnoempleo.com/preventa-experto-ia-npr-spain/aws-azure-cloud-data-gcp-ia-ml-genia/rf-aa0319e35227432b0143,2025-02-14 10:03:01,14/02/2025Actualizada,Madrid(Híbrido),,Big Data,Jornada completa,Más de 5 años,Indefinido,,No especificado,No especificado,No especificado,,Inglés (Medio),Ingeniero Superior,Especialista,22,,,,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UrgenteAccount Executive with Norwegian,https://www.tecnoempleo.com/account-executive-with-norwegian-iron-mountain/git-marketing-net-data-sale/rf-8ef61d15e2d53371224d,2025-02-14 10:03:01,14/02/2025Actualizada,Llinars del Vallès -Barcelona(Híbrido),País Puesto,Comercial,Jornada completa,1 año,Indefinido,39.000 € - 45.000 € Bruto/año,No especificado,No especificado,No especificado,,Noruego (Excelente),Licenciado,Especialista,4,,,,,No especificado,2,Uncapped Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
UrgenteResponsable Administración de Sistemas,https://www.tecnoempleo.com/responsable-administracion-sistemas-sedecal/linux-windows-azure-cibersegur/rf-302a1e56a2cef33aa544,2025-02-14 10:03:01,14/02/2025Actualizada,algete -Madrid(Presencial),,Administrador,Jornada completa,Más de 5 años,Indefinido,45.000 € - 54.000 € Bruto/año,No especificado,No especificado,No especificado,,,FP2/Grado Superior,Mando Intermedio,51,,,,,,,,No especificado,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UrgenteAccount Executive with German,https://www.tecnoempleo.com/account-executive-with-german-iron-mountain/salesforce/rf-9fbb16aa42fd2377cd4c,2025-02-14 10:03:01,14/02/2025Actualizada,Llinars del Vallès -Barcelona(Híbrido),País Puesto,Comercial,Jornada completa,1 año,Indefinido,39.000 € - 45.000 € Bruto/año,No especificado,No especificado,No especificado,,Alemán (Excelente),Licenciado,Especialista,3,,,,,No especificado,,Uncapped Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UrgenteIngeniero/a Telco Grandes Cuentas,https://www.tecnoempleo.com/ingeniero-telco-grandes-cuentas-gestelcom-servicio/sla-kpi-cisco/rf-62011c031206f366334e,2025-02-14 10:03:01,14/02/2025Actualizada,Asturias(Híbrido),Provincia Puesto,Jefe de Proyecto,Jornada completa,3 años,Indefinido,,No especificado,No especificado,No especificado,,,FP2/Grado Superior,Empleado,11,,,,,,,Jornada intensiva los viernes y verano.,,,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UrgenteIntegration Specialist,https://www.tecnoempleo.com/integration-specialist-gstock-web-app/php-mysql-git-symfony-api-etl-sql-ja/rf-b14e1d3282dea3a42b40,2025-02-14 10:03:02,14/02/2025Actualizada,100% En remoto,España,Analista Programador,Intensiva Mañana,1 año,Indefinido,21.000 € - 24.000 € Bruto/año,No especificado,No especificado,No especificado,,"Español (Excelente)										| 
										Inglés (Alto)",FP2/Grado Superior,Empleado,62,,,,,,,,,,,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Desarrollador/a Calypso - Java,https://www.tecnoempleo.com/desarrollador-calypso-java-grupo-digital/java-calypso/rf-5e55149fd209a3f1804c,2025-02-14 10:03:02,14/02/2025Nueva,Madrid(Híbrido),,Programador,Jornada completa,3 años,Indefinido,,No especificado,No especificado,No especificado,,,Grado Medio,Empleado,0,,,,,,,,,,,,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
